STT,Ngay,KLGD - Khop lenh,KLGD - Thoa thuan,KGLD - Tong,GTGD - Khop lenh,GTGD - Thoa Thuan,GTGD - Tong,Thi truong - % KGLD,Thi truong - % GTGD,NTD nuoc ngoai - KL mua,NTD nuoc ngoai - GT mua,NTD nuoc ngoai - KL ban,NTD nuoc ngoai - GT ban,NTD nuoc ngoai - KL con duoc phep nam giu
1,14/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12/04/2023,100,0,100,7280,0,7280,0,0,0,0,0,0,0
4,11/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10/04/2023,100,0,100,7230,0,7230,0,0,0,0,0,0,0
6,07/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
7,06/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
8,05/04/2023,200,0,200,13600,0,13600,0,0,0,0,0,0,0
9,04/04/2023,200,0,200,13200,0,13200,0,0,0,0,0,0,0
10,03/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
11,31/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
13,29/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
15,27/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
16,24/03/2023,3400,0,3400,226260,0,226260,0.01,0.02,0,0,0,0,0
17,23/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
18,22/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
19,21/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
21,17/03/2023,113,0,113,8084.2,0,8084.2,0,0,0,0,0,0,0
22,16/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
23,15/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
25,13/03/2023,100,0,100,7040,0,7040,0,0,0,0,0,0,0
26,10/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
27,09/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
28,08/03/2023,100,0,100,6690,0,6690,0,0,0,0,0,0,0
29,07/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
30,06/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
31,03/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
32,02/03/2023,2800,0,2800,172160,0,172160,0.01,0.03,0,0,0,0,0
33,01/03/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
34,28/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
35,27/02/2023,200,0,200,12700,0,12700,0,0,0,0,0,0,0
36,24/02/2023,400,0,400,25580,0,25580,0,0,0,0,0,0,0
37,23/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
38,22/02/2023,300,0,300,19470,0,19470,0,0,0,0,0,0,0
39,21/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20/02/2023,1000,0,1000,65850,0,65850,0,0,0,0,0,0,0
41,17/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
42,16/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
43,15/02/2023,1500,0,1500,87600,0,87600,0,0.01,0,0,0,0,0
44,14/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
45,13/02/2023,1300,0,1300,80360,0,80360,0,0.01,0,0,0,0,0
46,10/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
47,09/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
48,08/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
49,07/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
50,06/02/2023,1700,0,1700,115600,0,115600,0,0.01,0,0,0,0,0
51,03/02/2023,400,0,400,27200,0,27200,0,0,0,0,0,0,0
52,02/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
53,01/02/2023,3000,0,3000,212060,0,212060,0,0.01,0,0,0,0,0
54,31/01/2023,100,0,100,6800,0,6800,0,0,0,0,0,0,0
55,30/01/2023,3811,0,3811,268530.2,0,268530.2,0,0.02,0,0,0,0,0
56,27/01/2023,5600,0,5600,357920,0,357920,0.01,0.04,0,0,0,0,0
57,19/01/2023,1200,0,1200,70210,0,70210,0,0.01,0,0,0,0,0
58,18/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
59,17/01/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
60,16/01/2023,500,0,500,30210,0,30210,0,0,0,0,0,0,0
